codregion,cod_comuna,Region,Comuna,Total,Validos,Apruebo,Rechazo,Nulo,Blanco,Validos_per,Apruebo_per,Rechazo_per,Nulo_per,Blanco_per,Electores,Participacion,Participacion_per,Comuna_Servel
12,12103,Magallanes y Antártica Chilena,Río Verde,183,182,124,58,0,1,0.994535519125683,68.13186813186813,31.868131868131865,0,0.546448087431694,771,183,0.23735408560311283,RIO VERDE
12,12102,Magallanes y Antártica Chilena,Laguna Blanca,201,201,139,62,0,0,1,69.15422885572139,30.845771144278604,0,0,826,201,0.24334140435835352,LAGUNA BLANCA
12,12101,Magallanes y Antártica Chilena,Punta Arenas,54129,53931,42795,11136,136,62,0.9963420717175636,79.3513934471825,20.64860655281749,0.2512516396016923,0.11454118864194793,122555,54129,0.4416710864509812,PUNTA ARENAS
11,11402,Aysén del Gral.Ibañez del Campo,Río Ibáñez,932,924,637,287,2,6,0.9914163090128756,68.93939393939394,31.060606060606062,0.2145922746781116,0.6437768240343348,2861,932,0.32576022369800767,RIO IBAÑEZ
11,11401,Aysén del Gral.Ibañez del Campo,Chile Chico,1685,1676,1397,279,5,4,0.9946587537091988,83.35322195704057,16.646778042959426,0.2967359050445104,0.2373887240356083,6387,1685,0.2638171285423517,CHILE CHICO
11,11303,Aysén del Gral.Ibañez del Campo,Tortel,207,207,184,23,0,0,1,88.88888888888889,11.11111111111111,0,0,546,207,0.3791208791208791,TORTEL
11,11302,Aysén del Gral.Ibañez del Campo,O'Higgins,236,236,153,83,0,0,1,64.83050847457628,35.16949152542373,0,0,714,236,0.33053221288515405,OHIGGINS
11,11301,Aysén del Gral.Ibañez del Campo,Cochrane,1181,1174,892,282,5,2,0.9940728196443692,75.97955706984668,24.020442930153322,0.42337002540220153,0.1693480101608806,3360,1181,0.3514880952380952,COCHRANE
11,11203,Aysén del Gral.Ibañez del Campo,Guaitecas,607,605,488,117,0,2,0.9967051070840197,80.66115702479338,19.33884297520661,0,0.3294892915980231,1594,607,0.3808030112923463,GUAITECAS
11,11202,Aysén del Gral.Ibañez del Campo,Cisnes,1740,1731,1206,525,4,5,0.9948275862068966,69.67071057192375,30.329289428076255,0.22988505747126436,0.28735632183908044,4479,1740,0.3884795713328868,CISNES
11,11201,Aysén del Gral.Ibañez del Campo,Aysén,8984,8921,7223,1698,42,21,0.9929875333926982,80.96625938796099,19.03374061203901,0.4674977738201247,0.23374888691006235,22398,8984,0.40110724171801054,AYSEN
11,11102,Aysén del Gral.Ibañez del Campo,Lago Verde,373,371,247,124,0,2,0.9946380697050938,66.57681940700809,33.42318059299191,0,0.5361930294906166,1159,373,0.32182916307161347,LAGO VERDE
11,11101,Aysén del Gral.Ibañez del Campo,Coyhaique,22512,22408,17165,5243,61,43,0.9953802416488984,76.6021063905748,23.397893609425203,0.27096659559346126,0.1910092395167022,53940,22512,0.41735261401557283,COYHAIQUE
10,10404,Los Lagos,Palena,636,624,422,202,6,6,0.9811320754716981,67.62820512820514,32.371794871794876,0.9433962264150944,0.9433962264150944,2341,636,0.27167876975651434,PALENA
10,10403,Los Lagos,Hualaihué,2871,2849,2325,524,13,9,0.9923371647509579,81.60758160758161,18.392418392418392,0.4528039010797631,0.3134796238244514,8395,2871,0.34198927933293627,HUALAIHUE
10,10402,Los Lagos,Futaleufú,965,960,630,330,2,3,0.9948186528497409,65.625,34.375,0.20725388601036268,0.31088082901554404,3794,965,0.2543489720611492,FUTALEUFU
10,10401,Los Lagos,Chaitén,1363,1351,964,387,7,5,0.9911958914159942,71.35455218356773,28.645447816432274,0.5135730007336757,0.36683785766691124,5065,1363,0.269101678183613,CHAITEN
10,10307,Los Lagos,San Pablo,4091,4052,2941,1111,26,13,0.9904668785138108,72.58144126357354,27.41855873642646,0.6355414324126131,0.31777071620630654,9857,4091,0.4150350005072537,SAN PABLO
10,10306,Los Lagos,San Juan de la Costa,3177,3143,2530,613,15,19,0.989298079949638,80.49634107540567,19.503658924594337,0.4721435316336166,0.598048473402581,7858,3177,0.4043013489437516,SAN JUAN DE LA COSTA
10,10305,Los Lagos,Río Negro,5288,5251,3616,1635,22,15,0.9930030257186082,68.86307370024757,31.136926299752428,0.41603630862329805,0.283661119515885,13243,5288,0.3993052933625311,RIO NEGRO
10,10304,Los Lagos,Puyehue,4693,4640,3208,1432,33,20,0.98870658427445135,69.13793103448276,30.862068965517242,0.7031749414020882,0.42616663115278075,11456,4693,0.40965432960893855,PUYEHUE
10,10303,Los Lagos,Purranque,7891,7823,5168,2655,36,32,0.9913825877582055,66.06161319187012,33.93838680812987,0.45621594221264733,0.40552528196679766,19775,7891,0.399039190897598,PURRANQUE
10,10302,Los Lagos,Puerto Octay,3591,3568,2623,945,11,12,0.9935950988582567,73.5145739910314,26.48542600896861,0.3063213589529379,0.3341687552213868,8891,3591,0.4038915757507592,PUERTO OCTAY
10,10301,Los Lagos,Osorno,70236,69862,51582,18280,255,119,0.9946750953926761,73.8341301422805,26.165869857719503,0.3630616777720827,0.16942878296030525,142947,70236,0.49134294528741423,OSORNO
10,10210,Los Lagos,Quinchao,2989,2952,2536,416,19,18,0.9876212780194045,85.90785907859079,14.092140921409213,0.6356641017062563,0.6022080963532954,9241,2989,0.3234498430905746,QUINCHAO
10,10209,Los Lagos,Quemchi,2324,2299,1922,377,9,16,0.9892426850258176,83.6015658982166,16.398434101783383,0.387263339070568,0.6884681583476765,8966,2324,0.2592014276154361,QUEMCHI
